model,conversation_number,turn_number,question,expected_resolved,actual_resolved,expected_answer,actual_answer,res_Semantic Similarity,res_Token-F1,res_Entity-F1,res_Token Overlap,ans_Entity-F1,ans_Token-F1,ans_Cosine Similarity,ans_Semantic Similarity,ans_Answer Relevance,ans_Hallucination,ans_Faithfulness,ans_Completeness,ans_Key Info,ans_Exact Match,Latency (s)
reranking_minilm_mistral_v01,1,11,Is there any schoolarship available for master students?,Are there any scholarships available for master students?,Is there any schoolarship available for master students?,"Yes, Hof University offers scholarships for senior students, which includes master's degree students. These scholarships are funded by the Bavarian Ministry of Science, Research and the Arts, the DAAD (STIBET III), and exclusively for Graduate School students, the Hof University Graduate School. However, it is important to note that these scholarships are only available after you are officially enrolled at Hof University. Applications for these scholarships typically have specific deadlines; for summer semester applications, they are due approximately by the end of April, and for winter semester applications, by the end of October. For detailed application procedures and further information, contact the admissions office.","Tuition fees vary by program. Some master programs are free, others charge fees. Please specify which program.",0.7676486968994141,0.75,0.6,0.6,0.034482758620689655,0.0697674418604651,0.3691539168357849,0.3691539168357849,0.4398927390575409,0.8888888888888888,0.21432823340098067,0.0,0.0,0.0,5.637003660202026
reranking_minilm_mistral_v01,1,12,What is the rent amount in that area?,What is the rent amount in that area?,What is the rent amount in that area?,"The typical rent range in Hof for student accommodations is 350€ - 550€ per month, which includes costs for rent, water, energy, broadcast fee, and internet.
",350€ - 550€,1.0,1.0,1.0,1.0,0.23529411764705882,0.21428571428571425,0.38449153304100037,0.38449159264564514,0.34011784195899963,0.0,0.7537966370582581,0.0,0.5,0.0,5.6361987590789795
reranking_minilm_mistral_v01,2,1,I'm looking for master programs are available for Management background without tuition fee,I'm looking for master programs are available for Management background without tuition fee,I'm looking for master programs are available for Management background without tuition fee,"1. AI-Driven Supply Chain Management (M.Sc.)
2. Applied Psychology M.Sc.
3. Digital Business Management (M.Sc.)
4. Global Management M.A.
5. Human Resource Management and Labour Law LL.M./M.A.
6. Marketing Management M.Sc.
7. Supply Chain Management M.Sc.","Tuition fees vary by program. Some master programs are free, others charge fees. Please specify which program.",1.0,1.0,1.0,1.0,0.0,0.0,0.06704524904489517,0.06704524159431458,0.6920489072799683,1.0,0.02681809663772583,0.0,0.0,0.0,3.115731954574585
reranking_minilm_mistral_v01,2,2,My cgpa is 1.7 and IELTS score is 7. Can I apply for 1st program?,What are the admission requirements for AI-Driven Supply Chain Management (M.Sc.)?,What is the deadline?,"The admission requirements for AI-Driven Supply Chain Management (M. Sc.) include:

- **Academic Requirements**: A business-oriented Bachelor’s degree (such as Business Management, International Management, Industrial Engineering, or Business Informatics) from an accredited university; at least 210 ECTS (European Credit Transfer System) or equivalent (depending on the home country), with a minimum of at least 110 ECTS (European Credit Transfer System) in business-related subjects. Additionally, candidates should achieve a minimum grade of 2.5 according to the German grading system. Please provide a diploma supplement or similar documentation explaining the grading system used by your university or country.

- **Special Regulations for Applicants with Less Than 210 ECTS (European Credit Transfer System)**: Applicants who hold fewer than 210 credits (ECTS (European Credit Transfer System)) may still be considered but will need to complete the necessary credit hours through:
  - An internship lasting at least 900 hours over six months (this option applies only if the internship wasn’t recognized as part of their mandatory bachelor program).
  - Attending appropriate modules at Hof University.
  
Both options require calculating an additional fourth semester.

- **Language Proficiency**:
  - Proof of English language proficiency via TOEFL (minimum score of 90) or I","Question 1: What are the available programs for Management background?

Not available. Please contact the program coordinator for thesis requirements.

For more information: https://www.hof-university.com/studying-at-hof-university/our-degree-programs/general-management-mba.html

---

Question 2: What is the tuition fee?

3,300 € per semester

---

Question 3: What is the deadline?

Application period for Design and Mobility B. A.: Winter semester: May 01 - June 15 - extended until September 15, 2025",0.2704179286956787,0.26666666666666666,0.1818181818181818,0.15384615384615385,0.1,0.06282722513089006,0.5012869834899902,0.5012869834899902,0.3424783945083618,0.8292682926829268,0.30295381778624003,0.1,0.1119047619047619,0.0,15.515580654144287
reranking_minilm_mistral_v01,2,3,What's the application deadline for it?,What is the application deadline for AI-Driven Supply Chain Management (M.Sc.)?,What's the application deadline for it?,"The application deadlines for the AI-Driven Supply Chain Management (M. Sc.) program at Hof University are as follows:

- **Winter Semester**: EU applicants can apply from May 1 to July 15; non-EU applicants can apply from April 15 to May 31.
- **Summer Semester**: EU applicants can apply from November 15 to January 15; non-EU applicants can apply from November 5 to November 30.

For more detailed information, contact the university's admissions office.",EU: November 5 - January 15 Non-EU: November 5 - November 30,0.5419301390647888,0.4705882352941177,0.5,0.3076923076923077,0.23255813953488372,0.18518518518518517,0.3328878581523895,0.3328878879547119,0.20830032229423523,0.16666666666666666,0.6331551551818848,0.0,0.3588235294117647,0.0,3.14658522605896
reranking_minilm_mistral_v01,2,4,is there any tuition fee for this program?,What is the tuition fee for AI-Driven Supply Chain Management (M.Sc.)?,is there any tuition fee for this program?,AI-Driven Supply Chain Management (M. Sc.) has no tuition fees.,"You can find this information on the website ofyour study program. Most regular Bachelor’s and Master’s programs do not have a tuition fee. For all of our Graduate School programs, there is a tuition fee - see thefee structure. For all programs, there is a mandatory administrative student service fee of around 145 EUR per semester. The amount is due each semester until a certain deadline before the start of the following semester. The exact fee that you have to pay for the first semester will be mentioned in your admission letter. This fee includes for instance your semester ticket, which you can use to travel by bus for free in Hof and between Hof and our other campus locations in Münchberg and Selb (only specific routes/trains). More information on this fee",0.6033439636230469,0.4210526315789474,0.2,0.26666666666666666,0.034482758620689655,0.020408163265306124,0.39609378576278687,0.39609378576278687,0.5494402647018433,0.9803921568627451,0.08510111009373386,0.0,0.0,0.0,3.2357983589172363
reranking_minilm_mistral_v01,2,5,What is the language requirements for this program?,What are the language requirements for AI-Driven Supply Chain Management (M.Sc.)?,What is the language requirements for this program?,"Languageskills in German, proven by official test score documents - minimum level A1.","All applicants applying for a bachelor's or master's program must prove sufficient English language skills if their mother tongue (notsecond language) is not English In Primuss application portal, you must upload aproof of English language skills by an official test certificate: IELTS academic 6 5orTOEFL iBT 90(minimum scores accepted) In individual cases, other English test score documents (minimum level B2) can be accepted This decision is up to the examination board when reviewing your application Attention:A ""medium of instruction certificate"" confirming that you completed an entire study program in English language isnotsufficient for admission English taught programs (except forSoftware Engineering M ) also require aGerman language certificate minimum level A1according to the CEFR",0.4618215560913086,0.5263157894736842,0.46153846153846156,0.35714285714285715,0.15625,0.15533980582524273,0.373718798160553,0.373718798160553,0.2746807336807251,0.9107142857142857,0.10152947391782488,0.0,0.5,0.0,3.3050127029418945
reranking_minilm_mistral_v01,2,6,Can you give me more information about 3rd program?,What is the detailed information about the Digital Business Management (M.Sc.) program?,Can you give me more information about 3rd program?,"Academic requirements: A university degree with an overall grade of 2.5 or better and at least 210 credits (bachelor's or diploma degree) from a German university or an equivalent degree from a foreign university. In case of an overall examination grade worse than 2.5, applicants can be admitted if they belong to the best 50% of their study program at their university. Proof of sufficient basic knowledge in economics and information technology, corresponding in content to the following modules in the Bachelor's degree program in Business Administration at Hof University of Applied Sciences: Introduction to Business Administration, Business Process Management, IT Management. Applicants with a lack of basic knowledge as well as applicants with a first professional degree of 180 credits can be admitted if they undergo a post-qualification.",Yes. You can apply for several programs within the application period viaPrimuss portal.,0.43039000034332275,0.3,0.3333333333333333,0.17647058823529413,0.0,0.04444444444444445,0.1673451066017151,0.1673450917005539,0.24436841905117035,1.0,0.06693803668022157,0.0,0.0,0.0,3.1589314937591553
reranking_minilm_mistral_v01,2,7,When can I apply for this program?,What is the application deadline for AI-Driven Supply Chain Management (M.Sc.)?,"UNCHANGED"" if the question is already complete)","The application deadlines for the AI-Driven Supply Chain Management (M. Sc.) program at Hof University vary by semester:
- **Winter semester**: EU applicants can apply from May 1 to July 15; non-EU applicants can apply from April 15 to May 31.
- **Summer semester**: EU applicants can apply from November 15 to January 15; non-EU applicants can apply from November 5 to November 30.

For specific dates within these ranges, it's best to check the official university website or contact the admissions office for confirmation.","(1) 1Whoever wishes to take examinations must be admitted to them. 2Admission must be applied for in due form and time, stating the modules to which the examination relates (registration for examination). 3Registration is done via the corresponding internet portal in the campus management system of the university within the registration period set by the Examination Board and announced by the university. 4An examination is deemed to have been not taken without corresponding admission to the examination . 5The same applies if the legal effects of an admission cease to apply retroactively. (2) 1Before the examination period, the commencement of an examination within the meaning of § 45 (2) sentence 1 is deemed to be registration for the examination. 2The registration shall also be made formally in accordance with subsection (1) sentences 2 and 3, without this being relevant for the continuation of the legal consequence under sentence 1. (3) In deviation from para. 1 sentences 2 and 3, the following shall apply : For registration for final theses § 29 para. 2 sentence 6 applies. Registration for examinations in continuing education and further qualification studies that are not module studies is carried out in accordance with the relevant study and examination regulations. (4) 1Subsequent applications are admissible if the application period was missed for justifiable reasons. 2The reasons must be explained in the application and made credible. 3The Examination s Office decides on the admission of the subsequent registration. 4Subsequent registrations are not taken into account when setting the examination dates. (5) 1Registration for an examination only is valid for the next examination date. 2Admission to repeating an examination or to taking a missed examination must be applied for again. (6) 1Students are obliged to check their examination registration. 2As proof of registration, the documents made available via the registration portal shall be printed out and presented to the examiner or exam supervisor as required.",0.04359877109527588,0.2222222222222222,0.0,0.125,0.16417910447761194,0.125,0.2005426436662674,0.2005426287651062,0.010948439128696918,0.8829787234042553,0.07521490873174465,0.0,0.23125,0.0,5.843684196472168
reranking_minilm_mistral_v01,2,8,Is there any tuition fee for this course?,Is there any tuition fee for this course?,Is there any tuition fee for this course?,"I need more details about the specific course you're referring to. Based on the available information, most undergraduate programs like Computer Science (B. Sc.) and Engineering Science (international) B. Eng. do not have tuition fees. However, some graduate school programs may have tuition fees. To determine if there is a tuition fee for the particular course you're asking about, please provide the name or additional details of the course. Otherwise, contact the admissions office for confirmation.","You can find this information on the website ofyour study program. Most regular Bachelor’s and Master’s programs do not have a tuition fee. For all of our Graduate School programs, there is a tuition fee - see thefee structure. For all programs, there is a mandatory administrative student service fee of around 145 EUR per semester. The amount is due each semester until a certain deadline before the start of the following semester. The exact fee that you have to pay for the first semester will be mentioned in your admission letter. This fee includes for instance your semester ticket, which you can use to travel by bus for free in Hof and between Hof and our other campus locations in Münchberg and Selb (only specific routes/trains). More information on this fee",1.0000001192092896,1.0,1.0,1.0,0.14285714285714285,0.2684563758389262,0.6756290197372437,0.6756289601325989,0.6801871657371521,0.8823529411764706,0.3067558374124415,0.3333333333333333,0.0,0.0,5.6372106075286865
reranking_minilm_mistral_v01,2,9,What is the grading scale at Hof University?,What is the grading scale at Hof University?,What is the grading scale at Hof University?,"The grading scale at Hof University is as follows:
- 1,0 - 1,3: Very Good/Excellent Performance
- 1,7 - 2,0: Good/A Performance That Is Significantly Above Average Requirements
- 2,3 - 2,7: Satisfactory/A Performance That Meets Average Requirements
- 2,8 - 3,0: Satisfactory Plus/Slightly Above Average
- 3,3 - 3,7: Pass/A Performance That Just Meets Requirements
- 3,8 - 4,0: Barely Passed/Difficult To Assess Due To Deficiencies But Still Meeting Requirements
- 5,0: Insufficient/Performance With Considerable Deficiencies No Longer Meeting Requirements

Grades that are not whole numbers may not always be used. Certain exams might receive a pass/fail marking instead of a numerical grade. Examinations must score at least 4,0 or higher, or be marked 'Passed with Success', to be considered successful. If there's disagreement between graders, they should reach a consensus; otherwise, the final grade is calculated as the arithmetic mean of both scores, rounded down to one decimal place.","(1) The grading of an individual examination is based on the individual performance of the student. (2) 1The grading of individual examinations will be made according to the grading system set out in the following table : 1,0 1,3 very good an excellent performance 1,7 2,0 2,3 good a performance that is significantly above the average requirements 2,7 3,0 3,3 Satisfactory a performance that meets average requirements 3,7 4,0 sufficient a performance which, despite its deficiencies, still meets the requirements 5,0 insufficient a performance which, due to considerable deficiencies, no longer meets the requirements 2The grades that are not whole numbers do not have to be used . 3In accordance with the study and and examination regulations, certain examinations will not be graded, but will be marked with the predicate ""passed with success"" or ""passed without success"". (3) An examination is passed if it has been graded with at least ""4,0"" or has been marked with the predicate ""passed with success"". (4) 1If two examiners grade an examination differently, they shall agree on a consistent grade . 2If no agreement can be reached, the grade will be determined by the arithmetic mean of the grades awarded by the examiners, rounded down to one decimal place .",1.0,1.0,1.0,1.0,0.4736842105263158,0.42290748898678415,0.7103658318519592,0.7103657722473145,0.4663166105747223,0.41935483870967744,0.6325334056731193,0.5,0.46314102564102566,0.0,5.7454352378845215
reranking_minilm_mistral_v01,3,1,Is there any business related bachelor programs can I apply for?,Is there any business related bachelor programs can I apply for?,Is there any business related bachelor programs can I apply for?,"1. Business Administration B.A.
2. Business Law LL.B.
3. International Management B.A.",,1.0000001192092896,1.0,1.0,1.0,0.0,0.0,0.010890514589846134,0.010890512727200985,-0.0391010046005249,0.0,0.6043562050908804,0.0,0.0,0.0,2.969327688217163
reranking_minilm_mistral_v01,3,2,What are the requirements for 2nd program?,What are the admission requirements for the Business Law LL.B. program?,What are the requirements for 2nd program?,Detailed requirements are not specified for the Business Law LL. B. program. Please contact Prof. Dr. Robert Schönau (Head of Program) at robert.schoenau@hof-university.de for further assistance.,"Academic requirements: For an admission in this Master program, you need to fulfill the following admission criteria: Academic requirements A Bachelor’s degree (e.g. Engineering, Humanities, Social Sciences, Business Administration/Economics or Computer Science) or similar from an accredited university, at least 180 ECTS (European Credit Transfer System) or equivalent (depending on the home country) One year of work experience Language requirements Proficiency in English , proven by either TOEFL minimum 90 IELTS 6.5 or above Basic. Language requirements: languageskills in German , proven by official test score documents (e.g. Goethe, telc, ÖSD) - minimum level A1 according to the CEFR (The Common European Framework of Reference for Languages). By the beginning of the internship, all students have to prove that they are at a B1 German.",0.5132388472557068,0.7058823529411764,0.6,0.5454545454545454,0.0930232558139535,0.11475409836065574,0.40682917833328247,0.4068291187286377,0.4931122064590454,0.9420289855072463,0.09875712809355364,0.0,0.1111111111111111,0.0,5.553668022155762
reranking_minilm_mistral_v01,3,3,What is the teaching language for this program?,What is the teaching language for the Business Law LL.B. program?,What is the teaching language for this program?,The teaching language for the Business Law LL. B. program is German.,German,0.6598543524742126,0.7777777777777777,0.7272727272727273,0.6363636363636364,0.2222222222222222,0.0,0.4450361132621765,0.4450361132621765,0.23960253596305847,0.0,0.7780144453048706,0.0,0.25,0.0,3.3931217193603516
reranking_minilm_mistral_v01,3,4,Is there any english instruct business bachelor programs available?,Is there any english instruct business bachelor programs available?,Is there any english instruct business bachelor programs available?,"1. Business Administration B.A.
2. International Management B.A.",,1.0000001192092896,1.0,1.0,1.0,0.0,0.0,0.006868911441415548,0.006868915632367134,-0.0419350303709507,0.0,0.6027475662529468,0.0,0.0,0.0,3.010763645172119
reranking_minilm_mistral_v01,3,5,What's the tuition fee for 1st program?,What is the tuition fee for the Business Administration B.A.?,What's the tuition fee for 1st program?,Business Administration B. A. has no tuition fees.,"You can find this information on the website ofyour study program. Most regular Bachelor’s and Master’s programs do not have a tuition fee. For all of our Graduate School programs, there is a tuition fee - see thefee structure. For all programs, there is a mandatory administrative student service fee of around 145 EUR per semester. The amount is due each semester until a certain deadline before the start of the following semester. The exact fee that you have to pay for the first semester will be mentioned in your admission letter. This fee includes for instance your semester ticket, which you can use to travel by bus for free in Hof and between Hof and our other campus locations in Münchberg and Selb (only specific routes/trains). More information on this fee",0.6620796918869019,0.5,0.5,0.3333333333333333,0.03636363636363636,0.020833333333333336,0.5145732760429382,0.514573335647583,0.6017486453056335,0.9803921568627451,0.10879702007069308,0.3333333333333333,0.0,0.0,3.223193407058716
reranking_minilm_mistral_v01,3,6,When can I apply for this program??,What is the application deadline for the Business Administration B.A. program?,Is there any business related bachelor programs can I apply for?,"The application deadlines for the Business Administration B. A. program are as follows:
- For the winter semester: May 1 - July 15
- For the summer semester: November 15 - January 15","Question 1: What's the tuition fee?

3,300 € per semester

---

Question 2: Also the deadline?

EU: November 5 - January 15 Non-EU: November 5 - November 30

---

Question 3: Is there any business related bachelor programs can I apply for?

",0.42205578088760376,0.1904761904761905,0.15384615384615383,0.10526315789473684,0.3,0.21428571428571427,0.3845911920070648,0.3845911920070648,0.3482528626918793,0.7272727272727273,0.31747284043918955,0.0,0.625,0.0,15.313121557235718
reranking_minilm_mistral_v01,3,7,How long is this program?,How long is the Business Administration B.A. program?,How long is this program?,The Business Administration B. A. program lasts for 7 semesters.,3 semesters,0.5518818497657776,0.6153846153846154,0.5714285714285715,0.4444444444444444,0.2,0.0,0.5452133417129517,0.5452132821083069,0.5058667659759521,0.5,0.5180853128433227,0.0,0.0,0.0,3.2026548385620117
reranking_minilm_mistral_v01,3,8,Admission requirements for this program?,What are the admission requirements for the Business Administration B.A. program?,Admission requirements for this program?,Detailed requirements are not specified for the Business Administration B. A. program. Please contact Prof. Dr. Christine Brautsch (Head Of Program) - Email: christine.brautsch@hof-university.de for assistance.,"Academic requirements: For an admission in this Master program, you need to fulfill the following admission criteria: Academic requirements A Bachelor’s degree (e.g. Engineering, Humanities, Social Sciences, Business Administration/Economics or Computer Science) or similar from an accredited university, at least 180 ECTS (European Credit Transfer System) or equivalent (depending on the home country) One year of work experience Language requirements Proficiency in English , proven by either TOEFL minimum 90 IELTS 6.5 or above Basic. Language requirements: languageskills in German , proven by official test score documents (e.g. Goethe, telc, ÖSD) - minimum level A1 according to the CEFR (The Common European Framework of Reference for Languages). By the beginning of the internship, all students have to prove that they are at a B1 German.",0.7115342617034912,0.5333333333333333,0.6,0.36363636363636365,0.1348314606741573,0.11475409836065574,0.44623568654060364,0.44623568654060364,0.5050911903381348,0.9130434782608695,0.11533409382985987,0.0,0.16666666666666666,0.0,3.2747530937194824
reranking_minilm_mistral_v01,3,9,Can I work while studying?,Can I work while studying?,ITTEN QUESTION,"Yes, you can work while studying. EU students can work up to 19 hours per week without paying social security contributions. Non-EU students are allowed to work 140 full days or 280 half days per year. If you want to work beyond these limits, you need specific permissions such as a work permit from the Federal Employment Agency and the Immigration Office.",Prof. Dr. Carsten Stark's email is carsten.stark@hof-university.de,0.11991375684738159,0.0,0.0,0.0,0.0,0.0,0.031614918261766434,0.031614914536476135,0.051730841398239136,1.0,0.012645965814590454,0.0,0.0,0.0,5.5727856159210205
